player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Simba",bKBK-MEatE,2023-10-30T22:26:08.920Z,,17500,,35662,18162
"David",qDZ5ZjSJhA,2023-10-30T22:10:23.141Z,2023-10-30T23:18:19.955Z,10000,0,0,-10000
"Nic",jHw91Z27cI,2023-10-30T21:40:42.845Z,2023-10-30T22:47:37.177Z,10000,0,0,-10000
"babo",CvijzC3yFT,2023-10-30T21:32:44.071Z,2023-10-30T23:01:28.597Z,20000,38265,0,18265
"Jonah",ndZEZ_Th56,2023-10-30T21:13:32.462Z,2023-10-30T21:52:18.392Z,3000,0,0,-3000
"N punt 5",3leh0Qj5c4,2023-10-30T20:57:14.462Z,2023-10-30T22:42:03.868Z,1000,26633,0,25633
"Kimchi",bOOcH5LgO-,2023-10-30T20:54:56.989Z,,5000,,8012,3012
"babo",CvijzC3yFT,2023-10-30T20:53:56.499Z,2023-10-30T21:31:09.704Z,20000,0,0,-20000
"N punt 4",3leh0Qj5c4,2023-10-30T20:41:02.216Z,2023-10-30T20:56:39.038Z,2500,0,0,-2500
"Isaac on PC",SCoB5LKYVh,2023-10-30T20:33:55.466Z,2023-10-30T22:29:57.906Z,3493,0,0,-3493
"Nic",jHw91Z27cI,2023-10-30T20:32:58.972Z,2023-10-30T21:39:52.248Z,5000,0,0,-5000
"Jonah",ndZEZ_Th56,2023-10-30T20:32:58.969Z,2023-10-30T21:05:05.861Z,3000,0,0,-3000
"N punt 3",3leh0Qj5c4,2023-10-30T20:24:19.340Z,2023-10-30T20:40:32.519Z,2500,0,0,-2500
"N punt 2",3leh0Qj5c4,2023-10-30T20:21:32.667Z,2023-10-30T20:22:59.181Z,2500,0,0,-2500
"Noah",9JoYh8hT_k,2023-10-30T20:17:23.791Z,2023-10-30T21:00:20.584Z,5000,6685,0,1685
"Jonah",ndZEZ_Th56,2023-10-30T20:04:37.898Z,2023-10-30T20:30:50.170Z,3000,0,0,-3000
"Isaac",AzEKJ-zpvs,2023-10-30T19:59:43.313Z,2023-10-30T20:32:58.965Z,2500,3493,0,993
"N punt",3leh0Qj5c4,2023-10-30T19:59:16.882Z,2023-10-30T20:20:09.898Z,2500,0,0,-2500
"Noah",9JoYh8hT_k,2023-10-30T19:52:30.904Z,2023-10-30T20:14:50.033Z,5000,0,0,-5000
"Nic",jHw91Z27cI,2023-10-30T19:47:55.268Z,2023-10-30T20:31:53.445Z,5000,0,0,-5000
"David",qDZ5ZjSJhA,2023-10-30T19:38:39.689Z,2023-10-30T22:09:29.840Z,15000,0,0,-15000
"N punt",3leh0Qj5c4,,2023-10-30T19:37:03.969Z,2500,2500,0,0
"Keeg",Q-SW0Q6z3s,2023-10-30T19:38:39.685Z,,5000,,9744,4744
"Evan",Eb4tgaW4uX,2023-10-30T19:38:39.680Z,,12000,,31999,19999
